url_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,digit_count,alpha_count,is_https,has_ip,subdomain_count,has_suspicious_keywords,hostname_length,path_length,query_length,fragment_length,parameter_count,colon_count,semicolon_count,comma_count,dollar_count,percent_count,tilde_count,plus_count,special_char_count,entropy,brand_impersonation,label
32,2,0,0,2,0,0,0,0,0,27,1,0,1,1,24,0,0,0,0,1,0,0,0,0,0,0,5,3.9292,0,1
24,2,1,0,2,0,0,0,0,0,18,1,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,6,3.9702,0,1
30,3,0,0,2,0,0,0,0,0,24,1,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,6,4.1647,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,4.0603,0,1
34,2,0,0,2,0,0,0,0,0,29,1,0,1,0,26,0,0,0,0,1,0,0,0,0,0,0,5,3.9176,0,1
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,3.9292,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.7962,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.9791,0,1
30,2,0,0,2,0,0,0,0,0,25,1,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,5,4.0566,0,1
19,2,0,0,2,0,0,0,0,0,14,1,0,1,0,11,0,0,0,0,1,0,0,0,0,0,0,5,3.4714,0,1
34,2,0,0,2,0,0,0,0,0,29,1,0,1,0,26,0,0,0,0,1,0,0,0,0,0,0,5,4.1751,0,1
23,2,0,0,2,0,0,0,0,0,18,0,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,5,3.7623,0,0
28,2,0,0,2,0,0,0,0,0,23,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,0,5,3.8963,0,1
21,2,0,0,2,0,0,0,0,2,14,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.6897,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,4.1343,0,1
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.9435,0,1
21,2,0,0,2,0,0,0,0,0,16,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.6538,0,1
22,2,0,0,2,0,0,0,0,0,17,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.6978,0,1
22,2,0,0,2,0,0,0,0,0,17,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.7888,0,1
23,3,0,0,2,0,0,0,0,0,17,1,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,6,3.5555,0,1
27,3,0,0,2,0,0,0,0,7,14,0,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,6,3.9303,0,0
24,2,0,0,2,0,0,0,0,0,19,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8035,0,0
29,2,0,0,2,0,0,0,0,0,24,1,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,3.7623,0,1
30,2,0,0,2,0,0,0,0,0,25,1,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,5,3.8729,0,1
34,4,0,0,2,0,0,0,0,0,27,1,0,2,0,26,0,0,0,0,1,0,0,0,0,0,0,7,3.8888,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.7774,0,1
37,2,0,0,2,0,0,0,0,0,32,1,0,1,0,29,0,0,0,0,1,0,0,0,0,0,0,5,4.1008,0,1
38,2,1,0,3,0,0,0,0,0,31,1,0,1,0,29,1,0,0,0,1,0,0,0,0,0,0,7,4.1486,0,0
33,3,1,0,2,0,0,0,0,2,24,0,0,2,0,26,0,0,0,0,1,0,0,0,0,0,0,7,4.3697,0,0
27,2,1,0,3,0,0,0,0,4,16,1,0,1,0,18,1,0,0,0,1,0,0,0,0,0,0,7,4.1064,0,0
22,2,0,0,2,0,0,0,0,0,17,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.8797,0,1
92,2,0,0,4,1,1,1,0,7,75,1,0,0,0,7,52,24,0,1,1,0,0,0,0,0,0,10,4.8431,0,0
40,2,2,0,3,0,0,0,0,12,20,0,0,1,0,32,1,0,0,0,1,0,0,0,0,0,0,8,4.2751,0,0
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.9737,0,1
35,2,0,0,3,0,0,0,0,2,27,1,0,1,0,26,1,0,0,0,1,0,0,0,0,0,0,6,4.3433,0,0
24,3,0,0,2,0,0,0,0,0,18,1,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,6,3.9387,0,1
33,2,0,0,2,0,0,0,0,0,28,1,0,1,0,25,0,0,0,0,1,0,0,0,0,0,0,5,3.9344,0,1
20,2,0,0,2,0,0,0,0,0,15,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.5464,0,0
20,2,0,0,2,0,0,0,0,0,15,1,0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,5,3.5842,0,1
28,2,0,0,2,0,0,0,0,0,23,0,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,4.1106,0,0
28,3,0,0,2,0,0,0,0,0,22,0,0,2,0,21,0,0,0,0,1,0,0,0,0,0,0,6,3.7979,0,0
33,2,1,0,3,0,0,0,0,2,24,1,0,1,0,24,1,0,0,0,1,0,0,0,0,0,0,7,4.0209,0,0
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.9435,0,1
30,2,0,0,2,0,0,0,0,0,25,1,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,5,3.6817,0,1
42,2,3,0,3,0,0,0,0,3,30,1,0,1,0,33,1,0,0,0,1,0,0,0,0,0,0,9,4.2072,0,0
140,1,2,4,6,1,2,0,0,19,104,1,0,0,0,23,11,97,0,1,1,0,0,0,0,0,0,17,5.0652,0,0
28,2,0,0,2,0,0,0,0,0,23,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,0,5,3.8518,0,1
28,3,0,0,2,0,0,0,0,0,22,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,0,6,3.9408,0,1
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.7337,0,1
23,2,0,0,2,0,0,0,0,0,18,0,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,5,3.7623,0,0
35,2,1,0,3,0,0,0,0,6,22,1,0,1,0,26,1,0,0,0,1,0,0,0,0,0,0,7,4.1147,0,0
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.6537,0,1
32,1,0,0,3,0,0,0,0,0,27,1,0,0,0,23,1,0,0,0,1,0,0,0,0,0,0,5,3.9414,0,0
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.7672,0,1
25,2,0,0,2,0,0,0,0,0,20,0,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.9435,0,0
20,2,0,0,2,0,0,0,0,0,15,1,0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,5,3.5842,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,4.0603,0,1
37,1,0,0,4,0,0,0,0,4,27,1,0,0,0,12,17,0,0,0,1,0,0,0,0,0,0,6,4.2701,0,0
22,2,0,0,2,0,0,0,0,0,17,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.8797,0,1
31,2,1,0,3,0,0,0,0,1,23,1,0,1,0,22,1,0,0,0,1,0,0,0,0,0,0,7,3.9779,0,0
31,2,0,0,2,0,0,0,0,0,26,0,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,5,3.8489,0,0
36,3,0,0,2,0,0,0,0,0,30,1,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,6,4.0515,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.8731,0,1
18,2,0,0,2,0,0,0,0,0,13,1,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,5,3.0441,0,1
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8937,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.6714,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.9791,0,1
21,2,0,0,2,0,0,0,0,0,16,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.3321,0,1
31,3,0,0,2,0,0,0,0,0,25,0,0,2,0,24,0,0,0,0,1,0,0,0,0,0,0,6,3.8732,0,0
24,2,0,0,2,0,0,0,0,0,19,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8035,0,0
23,2,0,0,2,0,0,0,0,0,18,1,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,5,3.741,0,1
21,2,0,0,2,0,0,0,0,0,16,0,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.4992,0,0
27,3,0,0,2,0,0,0,0,7,14,0,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,6,3.9582,0,0
26,2,0,0,3,0,0,0,0,0,20,1,0,1,0,17,1,0,0,0,1,0,0,0,0,0,0,6,3.7193,0,0
29,2,0,0,2,0,0,0,0,0,24,1,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,3.9783,0,1
35,2,0,0,2,0,0,0,0,0,30,1,0,1,0,27,0,0,0,0,1,0,0,0,0,0,0,5,3.857,0,1
24,2,0,0,2,0,0,0,0,1,18,1,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,5,3.9702,0,1
92,3,0,1,5,0,0,0,0,39,40,1,0,1,0,16,68,0,0,0,1,0,0,0,3,0,0,13,4.7759,1,0
35,2,0,0,2,0,0,0,0,0,30,1,0,1,0,27,0,0,0,0,1,0,0,0,0,0,0,5,3.9433,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,4.0323,0,1
37,2,0,0,3,0,0,0,0,1,30,1,0,1,0,28,1,0,0,0,1,0,0,0,0,0,0,6,4.2426,0,0
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,3.6619,0,1
16,1,0,0,3,0,0,0,0,0,11,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,5,3.5778,0,0
52,4,3,0,2,0,0,0,0,1,41,0,0,3,0,45,0,0,0,0,1,0,0,0,0,0,0,10,4.1888,0,0
28,2,0,0,2,0,0,0,0,0,23,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,0,5,3.9677,0,1
20,2,0,0,2,0,0,0,0,0,15,1,0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,5,3.5842,0,1
32,2,0,0,2,0,0,0,0,0,27,1,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,5,3.8758,0,1
34,2,1,0,3,0,0,0,0,6,21,1,0,1,0,25,1,0,0,0,1,0,0,0,0,0,0,7,4.231,0,0
23,3,0,0,2,0,0,0,0,0,17,1,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,6,3.8492,0,1
20,2,0,0,2,0,0,0,0,0,15,1,0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,5,3.3842,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.6574,0,1
64,2,0,0,4,1,2,0,1,16,37,0,0,1,0,25,12,19,0,2,1,0,0,0,0,0,0,11,4.9605,0,0
55,3,4,0,2,0,0,0,0,18,27,1,0,2,0,47,0,0,0,0,1,0,0,0,0,0,0,10,4.3625,0,0
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8635,0,1
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8937,0,1
29,2,0,0,2,0,0,0,0,0,24,1,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,3.9094,0,1
35,2,0,0,2,0,0,0,0,0,30,1,0,1,0,27,0,0,0,0,1,0,0,0,0,0,0,5,4.1503,0,1
28,3,1,0,2,0,0,0,0,0,21,1,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,7,4.0391,0,1
41,2,0,0,2,0,0,0,0,0,36,1,0,1,0,33,0,0,0,0,1,0,0,0,0,0,0,5,4.1316,0,1
29,2,0,0,2,0,0,0,0,0,24,1,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,3.9523,0,1
55,3,3,0,3,0,0,0,0,0,45,1,0,2,0,46,1,0,0,0,1,0,0,0,0,0,0,10,4.3039,0,0
43,2,2,0,3,0,0,0,0,6,29,1,0,1,0,34,1,0,0,0,1,0,0,0,0,0,0,8,4.3708,0,0
19,2,0,0,2,0,0,0,0,0,14,1,0,1,0,11,0,0,0,0,1,0,0,0,0,0,0,5,3.6819,0,1
27,3,0,0,2,0,0,0,0,7,14,0,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,6,3.9582,0,0
46,2,0,0,3,0,0,0,0,19,21,1,0,1,0,37,1,0,0,0,1,0,0,0,0,0,0,6,4.4144,0,0
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,4.1069,0,1
34,4,0,0,2,0,0,0,0,0,27,1,0,1,0,26,0,0,0,0,1,0,0,0,0,0,0,7,4.1019,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.6095,0,1
48,3,0,0,3,0,0,0,0,0,41,1,0,2,0,39,1,0,0,0,1,0,0,0,0,0,0,7,3.8865,0,0
20,2,0,0,2,0,0,0,0,0,15,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.6842,0,0
21,3,0,0,2,0,0,0,0,0,15,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,6,3.5226,0,1
25,3,0,0,2,0,0,0,0,0,19,1,0,2,0,17,0,0,0,0,1,0,0,0,0,0,0,6,3.8333,0,1
21,2,0,0,2,0,0,0,0,0,16,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.5585,0,1
35,2,0,0,2,0,0,0,0,0,30,1,0,1,0,27,0,0,0,0,1,0,0,0,0,0,0,5,3.9929,0,1
26,2,0,0,3,0,0,0,0,0,20,1,0,1,0,17,1,0,0,0,1,0,0,0,0,0,0,6,4.1329,0,0
29,2,0,0,2,0,0,0,0,0,24,1,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,5,3.8664,0,1
23,2,0,0,2,0,0,0,0,0,18,1,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,5,3.882,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,3.8842,0,1
27,2,0,0,2,0,0,0,0,0,22,1,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,5,3.9582,0,1
32,2,2,0,2,0,0,0,0,0,25,1,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,7,3.8042,0,1
36,2,2,0,3,0,0,0,0,1,27,1,0,1,0,27,1,0,0,0,1,0,0,0,0,0,0,8,4.1972,0,0
71,7,1,1,5,0,0,0,0,1,55,1,0,5,0,39,24,0,0,0,1,0,0,0,0,0,0,15,4.4238,0,0
22,2,0,0,2,0,0,0,0,0,17,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,5,3.5383,0,1
48,2,0,0,2,0,0,0,0,17,26,0,0,1,0,41,0,0,0,0,1,0,0,0,0,0,0,5,4.2776,0,0
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,4.0181,0,1
21,3,0,0,3,0,0,0,0,10,4,0,1,0,0,13,1,0,0,0,1,0,0,0,0,0,0,7,3.4273,0,0
89,1,0,0,5,0,0,1,0,9,71,1,0,0,0,7,74,0,0,0,1,0,0,0,0,0,0,9,4.7919,0,0
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,3.6923,0,1
23,3,0,0,2,0,0,0,0,0,17,1,0,2,0,15,0,0,0,0,1,0,0,0,0,0,0,6,3.7294,0,1
22,2,0,0,2,0,0,0,0,0,17,0,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,5,3.8797,0,0
25,2,0,0,2,0,0,0,0,0,20,1,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,5,3.8137,0,1
21,2,0,0,2,0,0,0,0,2,14,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.5945,0,1
46,4,3,0,2,0,0,0,0,1,35,0,0,3,0,39,0,0,0,0,1,0,0,0,0,0,0,10,4.2219,0,0
22,3,0,0,2,0,0,0,0,0,16,1,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,6,3.4474,0,1
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,3.9779,0,1
35,2,0,0,2,0,0,0,0,0,30,1,0,1,0,27,0,0,0,0,1,0,0,0,0,0,0,5,3.9684,0,1
21,2,0,0,2,0,0,0,0,0,16,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,5,3.4399,0,1
30,2,0,0,2,0,0,0,0,0,25,0,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,3.7777,0,0
22,2,0,0,2,0,0,0,0,0,17,0,0,1,0,15,0,0,0,0,1,0,0,0,0,0,0,5,3.6069,0,0
18,2,0,0,2,0,0,0,0,3,10,1,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,5,3.4613,0,1
24,2,0,0,2,0,0,0,0,0,19,1,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,5,3.9702,0,1
31,2,1,0,2,0,0,0,0,0,25,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,6,3.7442,0,1
47,2,0,0,2,0,0,0,0,0,42,1,0,1,0,39,0,0,0,0,1,0,0,0,0,0,0,5,3.9485,0,1
26,2,0,0,2,0,0,0,0,0,21,1,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,5,3.8441,0,1
35,2,0,0,3,0,0,0,0,2,27,1,0,1,0,26,1,0,0,0,1,0,0,0,0,0,0,6,4.2646,0,0
36,2,0,0,2,0,0,0,0,0,31,1,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,5,4.0623,0,1
36,2,2,0,2,0,0,0,0,0,29,1,0,1,0,28,0,0,0,0,1,0,0,0,0,0,0,7,4.0651,0,1
45,3,2,0,3,0,0,0,0,0,36,0,0,1,0,28,10,0,0,0,1,0,0,0,0,0,0,9,4.0584,0,0
31,2,0,0,2,0,0,0,0,0,26,1,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,5,4.0424,0,1
43,2,1,0,3,0,0,0,0,0,36,1,0,1,0,34,1,0,0,0,1,0,0,0,0,0,0,7,4.1292,0,0
24,3,0,0,2,0,0,0,0,0,18,1,0,2,0,16,0,0,0,0,1,0,0,0,0,0,0,6,3.7406,0,1
38,2,2,0,2,0,0,0,0,4,27,0,0,1,0,31,0,0,0,0,1,0,0,0,0,0,0,7,4.2211,0,0
